constituency_no,constituency,district,polling_booths,total_voters,female_voters,male_voters,alliance,candidate_name,party
24,Perambra,Kozhikode,232,"2,05,970","1,05,112","1,00,858",LDF,T. P. Ramakrishnan,CPI(M)
24,Perambra,Kozhikode,232,"2,05,970","1,05,112","1,00,858",UDF,Adv. Fathima Thahiliya,IUML
24,Perambra,Kozhikode,232,"2,05,970","1,05,112","1,00,858",NDA,M. Mohanan Master,BJP
24,Perambra,Kozhikode,232,"2,05,970","1,05,112","1,00,858",Others,Ranjith Malayil,AAP
24,Perambra,Kozhikode,232,"2,05,970","1,05,112","1,00,858",Others,Akhil Kumar A.M,CPIML Red Star
24,Perambra,Kozhikode,232,"2,05,970","1,05,112","1,00,858",Others,T.M Ramakrishnan,Independent
24,Perambra,Kozhikode,232,"2,05,970","1,05,112","1,00,858",Others,Fathima Nasri.V,Independent
24,Perambra,Kozhikode,232,"2,05,970","1,05,112","1,00,858",Others,Fathimathu Ruksana.P,Independent
24,Perambra,Kozhikode,232,"2,05,970","1,05,112","1,00,858",Others,K. Ramakrishnan,Independent
24,Perambra,Kozhikode,232,"2,05,970","1,05,112","1,00,858",Others,P.K Biju Master,Independent
25,Balussery,Kozhikode,256,"2,28,689","1,17,466","1,11,219",LDF,Adv. K.M. Sachindev,CPI(M)
25,Balussery,Kozhikode,256,"2,28,689","1,17,466","1,11,219",UDF,V. T. Sooraj,INC
25,Balussery,Kozhikode,256,"2,28,689","1,17,466","1,11,219",NDA,C. P. Sateeshan,BJP
25,Balussery,Kozhikode,256,"2,28,689","1,17,466","1,11,219",Others,Sooraj K S/o Asokan,Independent
25,Balussery,Kozhikode,256,"2,28,689","1,17,466","1,11,219",Others,Abhijith,Independent
26,Elathur,Kozhikode,209,"2,11,105","1,09,228","1,01,875",LDF,A. K. Saseendran,NCP(SP)
26,Elathur,Kozhikode,209,"2,11,105","1,09,228","1,01,875",UDF,Adv. Vidya Balakrishnan,INC
26,Elathur,Kozhikode,209,"2,11,105","1,09,228","1,01,875",NDA,T. Devadas,BJP
26,Elathur,Kozhikode,209,"2,11,105","1,09,228","1,01,875",Others,Abdul Basith Atholi,AAP
26,Elathur,Kozhikode,209,"2,11,105","1,09,228","1,01,875",Others,P.K.Saseendran,NCP
26,Elathur,Kozhikode,209,"2,11,105","1,09,228","1,01,875",Others,P.M.Sreekumar,SUCI
26,Elathur,Kozhikode,209,"2,11,105","1,09,228","1,01,875",Others,V.K. Saseendran,Independent
26,Elathur,Kozhikode,209,"2,11,105","1,09,228","1,01,875",Others,Adv.Sumin.S.Nedungadan,Independent
27,Kozhikode North,Kozhikode,186,"1,73,205","91,056","82,145",LDF,Thottathil Ravindran,CPI(M)
27,Kozhikode North,Kozhikode,186,"1,73,205","91,056","82,145",UDF,Adv. K Jayanth,INC
27,Kozhikode North,Kozhikode,186,"1,73,205","91,056","82,145",NDA,Navya Haridas,BJP
27,Kozhikode North,Kozhikode,186,"1,73,205","91,056","82,145",Others,Dr. Alphonsa Mathew,AAP
27,Kozhikode North,Kozhikode,186,"1,73,205","91,056","82,145",Others,A Sajeena,SUCI
27,Kozhikode North,Kozhikode,186,"1,73,205","91,056","82,145",Others,Jayanth Kumar,Independent
27,Kozhikode North,Kozhikode,186,"1,73,205","91,056","82,145",Others,Jayanth S,Independent
27,Kozhikode North,Kozhikode,186,"1,73,205","91,056","82,145",Others,Raveendran,Independent
27,Kozhikode North,Kozhikode,186,"1,73,205","91,056","82,145",Others,Raveendranathan Nair,Independent
28,Kozhikode South,Kozhikode,168,"1,55,972","79,802","76,168",LDF,Ahamed Devarkovil,INL
28,Kozhikode South,Kozhikode,168,"1,55,972","79,802","76,168",UDF,Adv. Fyzal Babu,IUML
28,Kozhikode South,Kozhikode,168,"1,55,972","79,802","76,168",NDA,T. Raneesh,BJP
29,Beypore,Kozhikode,215,"2,18,558","1,11,532","1,07,022",LDF,Muhammad Riyas,CPI(M)
29,Beypore,Kozhikode,215,"2,18,558","1,11,532","1,07,022",UDF,P. V. Anvar,AITC
29,Beypore,Kozhikode,215,"2,18,558","1,11,532","1,07,022",NDA,Adv. K. P. Prakash Babu,BJP
29,Beypore,Kozhikode,215,"2,18,558","1,11,532","1,07,022",Others,Anver S/o Enunni,Independent
29,Beypore,Kozhikode,215,"2,18,558","1,11,532","1,07,022",Others,Anver S/o Moideenkoya,Independent
29,Beypore,Kozhikode,215,"2,18,558","1,11,532","1,07,022",Others,Anver S/o Sulaikha K P,Independent
29,Beypore,Kozhikode,215,"2,18,558","1,11,532","1,07,022",Others,Anwar Ali Hassan S/o Kuttyhassan,Independent
29,Beypore,Kozhikode,215,"2,18,558","1,11,532","1,07,022",Others,Muhammed Riyas P.C S/o Ahammedkutty .P C,Independent
30,Kunnamangalam,Kozhikode,255,"2,41,980","1,23,879","1,18,100",LDF,Adv. P.T.A Rahim,Independent (CPI(M) support)
30,Kunnamangalam,Kozhikode,255,"2,41,980","1,23,879","1,18,100",UDF,M. A. Razak Master,IUML
30,Kunnamangalam,Kozhikode,255,"2,41,980","1,23,879","1,18,100",NDA,Adv. V. K. Sajeevan,BJP
30,Kunnamangalam,Kozhikode,255,"2,41,980","1,23,879","1,18,100",Others,Santhosh P T,AIHCP
30,Kunnamangalam,Kozhikode,255,"2,41,980","1,23,879","1,18,100",Others,Abdul Razak,Independent
30,Kunnamangalam,Kozhikode,255,"2,41,980","1,23,879","1,18,100",Others,Abdu Rasak,Independent
30,Kunnamangalam,Kozhikode,255,"2,41,980","1,23,879","1,18,100",Others,Mavoor Muhammed Ali,Independent
30,Kunnamangalam,Kozhikode,255,"2,41,980","1,23,879","1,18,100",Others,Raheem P,Independent
30,Kunnamangalam,Kozhikode,255,"2,41,980","1,23,879","1,18,100",Others,Rahim,Independent
31,Koduvally,Kozhikode,214,"2,01,668","1,01,470","1,00,198",LDF,Saleem Madavoor,Independent (CPI(M) support)
31,Koduvally,Kozhikode,214,"2,01,668","1,01,470","1,00,198",UDF,P. K. Firos,IUML
31,Koduvally,Kozhikode,214,"2,01,668","1,01,470","1,00,198",NDA,Giri Pambanal,BDJS
31,Koduvally,Kozhikode,214,"2,01,668","1,01,470","1,00,198",Others,Bavan Kutty K M,AAP
31,Koduvally,Kozhikode,214,"2,01,668","1,01,470","1,00,198",Others,Sunil Mannath,RPI (A)
31,Koduvally,Kozhikode,214,"2,01,668","1,01,470","1,00,198",Others,Abdul Shukoor,Independent
31,Koduvally,Kozhikode,214,"2,01,668","1,01,470","1,00,198",Others,Firose K C S/o Moitheenkutty,Independent
31,Koduvally,Kozhikode,214,"2,01,668","1,01,470","1,00,198",Others,Firose S/o Aboobacker Musaliar,Independent
31,Koduvally,Kozhikode,214,"2,01,668","1,01,470","1,00,198",Others,Lakshmanan K P Thamarassery,Independent
31,Koduvally,Kozhikode,214,"2,01,668","1,01,470","1,00,198",Others,Sajir K,Independent
31,Koduvally,Kozhikode,214,"2,01,668","1,01,470","1,00,198",Others,Saleem C K,Independent
31,Koduvally,Kozhikode,214,"2,01,668","1,01,470","1,00,198",Others,Saleem Muttanchery,Independent
31,Koduvally,Kozhikode,214,"2,01,668","1,01,470","1,00,198",Others,Shaheeda C P,Independent
32,Thiruvambady,Kozhikode,209,"1,91,954","97,007","94,944",LDF,Linto Joseph,CPI(M)
32,Thiruvambady,Kozhikode,209,"1,91,954","97,007","94,944",UDF,C. K. Kasim,IUML
32,Thiruvambady,Kozhikode,209,"1,91,954","97,007","94,944",NDA,Sunny Thomas,TTP
32,Thiruvambady,Kozhikode,209,"1,91,954","97,007","94,944",Others,Sunny V Joseph,AAP
32,Thiruvambady,Kozhikode,209,"1,91,954","97,007","94,944",Others,Dr. Wilson Rockey,Independent
32,Thiruvambady,Kozhikode,209,"1,91,954","97,007","94,944",Others,Muhammed Kasim,Independent
32,Thiruvambady,Kozhikode,209,"1,91,954","97,007","94,944",Others,P K Kasim S/o Abdullakkutty Haji,Independent
33,Kondotty,Malappuram,246,"2,29,370","1,13,366","1,16,003",LDF,Dr. P. Jiji,CPI(M)
33,Kondotty,Malappuram,246,"2,29,370","1,13,366","1,16,003",UDF,T. P. Ashrafali,IUML
33,Kondotty,Malappuram,246,"2,29,370","1,13,366","1,16,003",NDA,P. Subrahmanian,BJP
33,Kondotty,Malappuram,246,"2,29,370","1,13,366","1,16,003",Others,Keeran N.K,BSP
33,Kondotty,Malappuram,246,"2,29,370","1,13,366","1,16,003",Others,M. Abdul Khader,SDPI
34,Eranad,Malappuram,213,"1,99,556","99,070","1,00,486",LDF,Adv. Shafeer Kizhisseri,CPI
34,Eranad,Malappuram,213,"1,99,556","99,070","1,00,486",UDF,P. K. Basheer,IUML
34,Eranad,Malappuram,213,"1,99,556","99,070","1,00,486",NDA,Adv. N. Sreeprakash,BJP
34,Eranad,Malappuram,213,"1,99,556","99,070","1,00,486",Others,Krishnan Thachannan,BSP
34,Eranad,Malappuram,213,"1,99,556","99,070","1,00,486",Others,Yusuf Chemmala,SDPI
34,Eranad,Malappuram,213,"1,99,556","99,070","1,00,486",Others,Mujeeb Rahman,Independent
35,Nilambur,Malappuram,263,"2,36,576","1,20,683","1,15,886",LDF,U. Sharafali,Independent (CPI(M) support)
35,Nilambur,Malappuram,263,"2,36,576","1,20,683","1,15,886",UDF,Aryadan Shoukath,INC
35,Nilambur,Malappuram,263,"2,36,576","1,20,683","1,15,886",NDA,Gireesh Mekkad,BDJS
35,Nilambur,Malappuram,263,"2,36,576","1,20,683","1,15,886",Others,Jaisal Maliyekkal,AAP
36,Wandoor,Malappuram,257,"2,47,184","1,25,711","1,21,473",LDF,Dr. K.K Damodaran,CPI(M)
36,Wandoor,Malappuram,257,"2,47,184","1,25,711","1,21,473",UDF,A. P. Anil Kumar,INC
36,Wandoor,Malappuram,257,"2,47,184","1,25,711","1,21,473",NDA,E. P. Kumaradas,BJP (Independent)
36,Wandoor,Malappuram,257,"2,47,184","1,25,711","1,21,473",Others,Anilkumar S/o Kuttan,Independent
37,Manjeri,Malappuram,237,"2,27,762","1,14,158","1,13,604",LDF,V. M. Mustafa,Independent (CPI support)
37,Manjeri,Malappuram,237,"2,27,762","1,14,158","1,13,604",UDF,Adv. M. Rahmathulla,IUML
37,Manjeri,Malappuram,237,"2,27,762","1,14,158","1,13,604",NDA,Pathmasree M.,BJP
37,Manjeri,Malappuram,237,"2,27,762","1,14,158","1,13,604",Others,Adv. PPA Sageer,AAP
37,Manjeri,Malappuram,237,"2,27,762","1,14,158","1,13,604",Others,Bipin Benson Joseph,Independent
38,Perinthalmanna,Malappuram,244,"2,29,525","1,16,093","1,13,431",LDF,V. P. Muhammad Haneefa,CPI(M)
38,Perinthalmanna,Malappuram,244,"2,29,525","1,16,093","1,13,431",UDF,Najeeb Kanthapuram,IUML
